sample_id,config,accurate,latency,cost,tree_cost,has_tree
multihop-138,A1,1.0,1.586738109588623,0.00020664000000000001,0.0,0
multihop-139,A1,0.0,1.4407110214233398,0.00017208,0.0,0
multihop-140,A1,0.0,1.8443629741668701,0.0002211,0.0,0
multihop-141,A1,0.0,8.874624967575073,0.00015167999999999998,0.0,0
multihop-142,A1,1.0,2.649286985397339,0.00017922,0.0,0
multihop-143,A1,0.0,1.751936912536621,0.00014321999999999997,0.0,0
multihop-144,A1,0.0,0.8984777927398682,0.00020399999999999997,0.0,0
multihop-145,A1,0.0,2.3829879760742188,0.00021503999999999997,0.0,0
multihop-146,A1,1.0,19.16305899620056,0.00018144,0.0,0
multihop-147,A1,1.0,4.706349849700928,0.00018246,0.0,0
multihop-148,A1,1.0,1.7806811332702637,0.00019986,0.0,0
multihop-149,A1,1.0,2.2381863594055176,0.00017982,0.0,0
multihop-150,A1,0.0,2.3936169147491455,0.00015894,0.0,0
multihop-151,A1,0.0,2.7775328159332275,0.00020544,0.0,0
multihop-152,A1,1.0,2.193939208984375,0.00019145999999999999,0.0,0
multihop-153,A1,1.0,6.950807809829712,0.0002103,0.0,0
multihop-154,A1,1.0,1.967024326324463,0.00014723999999999998,0.0,0
multihop-155,A1,0.0,5.572728872299194,0.0001806,0.0,0
multihop-156,A1,1.0,2.6592769622802734,0.0001896,0.0,0
multihop-157,A1,1.0,2.33847713470459,0.0002004,0.0,0
multihop-158,A1,0.0,1.4970159530639648,0.0001659,0.0,0
multihop-159,A1,0.0,1.0258159637451172,0.0002022,0.0,0
multihop-160,A1,0.0,8.020114183425903,0.00017928,0.0,0
multihop-161,A1,0.0,1.8200459480285645,0.00021306,0.0,0
multihop-162,A1,1.0,1.6714251041412354,0.00021354,0.0,0
multihop-163,A1,0.0,1.9177286624908447,0.00017477999999999998,0.0,0
multihop-164,A1,1.0,4.125287055969238,0.00014766,0.0,0
multihop-165,A1,1.0,0.8603219985961914,0.0001884,0.0,0
multihop-166,A1,0.0,1.0653009414672852,0.00020394,0.0,0
multihop-167,A1,0.0,1.5900990962982178,0.00021606,0.0,0
multihop-168,A1,1.0,1.6298470497131348,0.00019152,0.0,0
multihop-169,A1,1.0,3.095837116241455,0.00017694,0.0,0
multihop-170,A1,1.0,1.7918038368225098,0.00019776,0.0,0
multihop-171,A1,1.0,2.10823392868042,0.00021161999999999998,0.0,0
multihop-172,A1,1.0,4.798977851867676,0.00020879999999999998,0.0,0
multihop-173,A1,0.0,1.9341497421264648,0.00019218,0.0,0
multihop-174,A1,1.0,5.985222816467285,0.00016073999999999998,0.0,0
multihop-175,A1,0.0,3.277985095977783,0.0001818,0.0,0
multihop-176,A1,0.0,1.3801178932189941,0.00018156,0.0,0
multihop-177,A1,0.0,1.9324049949645996,0.00016151999999999998,0.0,0
multihop-178,A1,1.0,1.721580982208252,0.00018444,0.0,0
multihop-179,A1,1.0,9.463384866714478,0.00021774,0.0,0
multihop-180,A1,1.0,3.0687241554260254,0.00015186,0.0,0
multihop-181,A1,0.0,19.918247938156128,0.00019002,0.0,0
multihop-182,A1,0.0,3.0649521350860596,0.00016338,0.0,0
multihop-183,A1,1.0,0.8622229099273682,0.0002145,0.0,0
multihop-184,A1,1.0,0.8128440380096436,0.00020081999999999996,0.0,0
multihop-185,A1,0.0,12.175630807876587,0.00020051999999999998,0.0,0
multihop-186,A1,1.0,4.325400114059448,0.00020364,0.0,0
multihop-187,A1,1.0,0.6935601234436035,0.00021624,0.0,0
multihop-188,A1,1.0,2.359034299850464,0.00020237999999999997,0.0,0
multihop-189,A1,0.0,1.3706939220428467,0.00012497999999999999,0.0,0
multihop-190,A1,1.0,3.5206172466278076,0.00018966,0.0,0
multihop-191,A1,1.0,1.2928388118743896,0.00017946,0.0,0
multihop-192,A1,1.0,41.535149812698364,0.00022746,0.0,0
multihop-193,A1,0.0,2.701207160949707,0.00017088,0.0,0
multihop-194,A1,0.0,2.575361967086792,0.00021287999999999998,0.0,0
multihop-195,A1,1.0,0.5756258964538574,0.00017687999999999997,0.0,0
multihop-196,A1,1.0,14.597001075744629,0.00018203999999999999,0.0,0
multihop-197,A1,0.0,4.8196539878845215,0.00012696000000000002,0.0,0
multihop-198,A1,1.0,1.93699312210083,0.00017454,0.0,0
multihop-199,A1,1.0,2.2715210914611816,0.00013806000000000002,0.0,0
multihop-200,A1,1.0,1.0481929779052734,0.00020135999999999998,0.0,0
multihop-201,A1,0.0,1.2981808185577393,0.00018594,0.0,0
